Cd_Disciplina	Nome_Disciplina
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 138	FUNDAMENTOS DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 139	LABORATÓRIO DE QUÍMICA ORGÂNICA
QMF 145	HISTÓRIA DA QUÍMICA
QMF 150	FÍSICO-QUÍMICA I
QMF 320	QUÍMICA INORGÂNICA II
TBC 100	MATEMÁTICA APLICADA
TBC 101	PORTUGUÊS INSTRUMENTAL
TBC 103	PROBABILIDADE E ESTATÍSTICA
TBC 104	EMPREENDEDORISMO
TBC 104	EMPREENDEDORISMO
TBC 106	CÁLCULO DIFERENCIAL E INTEGRAL
TBC 107	ÁLGEBRA LINEAR
TBC 111	INGLÊS TÉCNICO
TBC 111	INGLÊS TÉCNICO
TBC 112	INTRODUÇÃO À LÓGICA
TBC 113	PRÉ-CÁLCULO
TDS 100	INFORMÁTICA BÁSICA
TDS 100	INFORMÁTICA BÁSICA
TDS 101	INTRODUÇÃO À INFORMÁTICA
TDS 212	PROGRAMAÇÃO II
TDS 213	PRÁTICA DE PROGRAMAÇÃO II
TDS 214	PROGRAMAÇÃO I
TDS 215	PRÁTICA DE PROGRAMAÇÃO I
TDS 216	INTRODUÇÃO À PROGRAMAÇÃO
TDS 216	INTRODUÇÃO À PROGRAMAÇÃO
TDS 240	INTRODUÇÃO À ARQUITETURA DE COMPUTADORES
TDS 311	ESTRUTURA DE DADOS I
TDS 312	PROGRAMAÇÃO ORIENTADA E EVENTOS
TDS 313	PRÁTICA DE PROGRAMAÇÃO ORIENTADA E EVENTOS
TDS 314	PROGRAMAÇÃO WEB
TDS 315	PROGRAMAÇÃO ORIENTADA A OBJETOS
TDS 316	PRÁTICA DE PROGRAMAÇÃO ORIENTADA A OBJETOS
TDS 317	ESTRUTURA DE DADOS II
TDS 320	BANCO DE DADOS
TDS 321	ENGENHARIA DE SOFTWARE
TDS 322	ANÁLISE E PROJETO ORIENTADOS A OBJETOS
TDS 323	ARQUITETURA DE SOFTWARE
TDS 350	REDES DE COMPUTADORES
TDS 360	GESTÃO DE PROJETOS
TDS 380	PESQUISA OPERACIONAL
TDS 391	SEMINÁRIO II
TDS 391	SEMINÁRIO II
TDS 393	TÓPICOS AVANÇADOS EM INFORMÁTICA I
TDS 393	TÓPICOS AVANÇADOS EM INFORMÁTICA I
TDS 394	TÓPICOS AVANÇADOS EM INFORMÁTICA II
TDS 394	TÓPICOS AVANÇADOS EM INFORMÁTICA II
TDS 395	ESTÁGIO SUPERVISIONADO
TDS 395	ESTÁGIO SUPERVISIONADO
TDS 396	TRABALHO DE CONCLUSÃO DE CURSO I
TDS 396	TRABALHO DE CONCLUSÃO DE CURSO I
TDS 397	TRABALHO DE CONCLUSÃO DE CURSO II
TDS 397	TRABALHO DE CONCLUSÃO DE CURSO II
TDS 398	TÓPICOS ESPECIAIS EM COMPUTAÇÃO I
TDS 399	TÓPICOS ESPECIAIS EM COMPUTAÇÃO II
TGA 210	TOPOGRAFIA E INTRODUÇÃO AO GPS
TGA 210	TOPOGRAFIA E INTRODUÇÃO AO GPS
TGA 220	QUÍMICA ANALÍTICA E AMBIENTAL
TGA 220	QUÍMICA ANALÍTICA E AMBIENTAL
TGA 230	ECOLOGIA E ECOSSISTEMAS BRASILEIROS
TGA 231	MICROBIOLOGIA AMBIENTAL E SAÚDE PÚBLICA
TGA 231	MICROBIOLOGIA AMBIENTAL E SAÚDE PÚBLICA
TGA 240	ELEMENTOS DE CIÊNCIAS DO SOLO
TGA 250	ÉTICA E LEGISLAÇÃO DO PROFISSIONAL EM MEIO AMBIENTE
TGA 251	LEGISLAÇÃO AMBIENTAL
TGA 251	LEGISLAÇÃO AMBIENTAL
TGA 310	SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS
TGA 310	SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS
TGA 310	SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS
TGA 310	SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS
TGA 340	MANEJO E CONSERVAÇÃO DE SOLO
TGA 340	MANEJO E CONSERVAÇÃO DE SOLO
TGA 341	RECUPERAÇÃO DE ÁREAS DEGRADADAS
TGA 350	LICENCIAMENTO AMBIENTAL
TGA 360	PLANEJAMENTO E GESTÃO DE RECURSOS HÍDRICOS
TGA 361	HIDRÁULICA BÁSICA
TGA 362	QUALIDADE E TRATAMENTO DE ÁGUA
TGA 370	EDUCAÇÃO AMBIENTAL
TGA 371	TEORIA GERAL DA ADMINISTRAÇÃO
TGA 372	ECONOMIA DE RECURSOS NATURAIS
TGA 373	GESTÃO AMBIENTAL
TGA 381	MANEJO E TRATAMENTO DE POLUENTES
TGA 382	CONTROLE DA POLUIÇÃO EM PROCESSOS INDUSTRIAIS
TGA 383	COLETA E TRATAMENTO DE ÁGUAS RESIDUÁRIAS
TGA 384	GERENCIAMENTO DE RESÍDUOS SÓLIDOS
TGA 385	SEGURANÇA NO TRABALHO
TGA 390	CLIMATOLOGIA E QUALIDADE DO AR
TGA 391	ELABORAÇÃO E DESENVOLVIMENTO DE PROJETOS AMBIENTAIS
TGA 392	SISTEMAS AGROFLORESTAIS E AGROECOLOGIA
TGA 393	PROJETO FINAL DE CURSO
TGA 394	ESTÁGIO SUPERVISIONADO
TGA 394	ESTÁGIO SUPERVISIONADO
TGA 395	METEOROLOGIA E CLIMATOLOGIA
CAI 010	LÍNGUA PORTUGUESA
CAI 011	ARTE
CAI 012	LÍNGUA ESTRANGEIRA MODERNA (INGLES)
CAI 013	EDUCAÇÃO FÍSICA
CAI 014	MATEMÁTICA
CAI 015	FÍSICA
CAI 016	QUÍMICA
CAI 017	BIOLOGIA
CAI 020	FILOSOFIA
CAI 021	SOCIOLOGIA
CAI 023	INFORMÁTICA BÁSICA
CAL 010	INFORMÁTICA BÁSICA
CAL 011	ERGONOMIA E SEGURANÇA NO TRABALHO
CAL 012	PRINCÍPIOS DE CONSERVAÇÃO DE ALIMENTOS
CAL 013	MICROBIOLOGIA GERAL
CAL 014	CÓDIGO DE DEFESA DO CONSUMIDOR
CAL 015	INICIAÇÃO À ESTATÍSTICA
CAL 016	REDAÇÃO E EXPRESSÃO ORAL
CAL 021	EMBALAGEM DE ALIMENTOS
CAL 022	HIGIENE INDUSTRIAL
CAL 023	QUÍMICA DE ALIMENTOS
CAL 024	MICROBIOLOGIA DE ALIMENTOS
CAL 025	CONTROLE AMBIENTAL NA INDÚSTRIA DE ALIMENTOS
CAL 026	CONTROLE DE QUALIDADE NA INDÚSTRIA DE ALIMENTOS
CAL 027	ANÁLISE SENSORIAL
CAL 030	TECNOLOGIA DE OVOS, PESCADOS E MEL
CAL 031	PROCESSAMENTO DE FRUTAS, HORTALIÇAS E PANIFICAÇÃO
CAL 032	PROCESSAMENTO DE CARNE E DERIVADOS
CAL 033	PROCESSAMENTO DE LEITE E DERIVADOS
CAL 040	EXTENSÃO RURAL
CAL 041	COMERCIALIZAÇÃO E MARKETING
CAL 042	PROJETO DE CONCLUSÃO DE CURSO I
CAL 043	PROJETO DE CONCLUSÃO DE CURSO II
CFA 010	SUSTENTABILIDADE AMBIENTAL
