"parametros";"val_Sim"
"gamma0";0.900041056402891
"gamma0";0.886074397971792
"gamma0";0.938369773339279
"gamma0";0.656131466709338
"gamma0";0.900060511185868
"gamma0";1.07196615699986
"gamma0";0.928346572416365
"gamma0";0.522569130847305
"gamma0";0.897795383096485
"gamma0";0.914440305464408
"gamma0";1.03461039333377
"gamma0";0.652678619987012
"gamma0";1.07463429257963
"gamma0";0.897751552331975
"gamma0";0.960818639191909
"gamma0";0.551960438294792
"gamma0";0.795150151680026
"gamma0";0.878789265044858
"gamma0";0.581188860436341
"gamma0";0.824224304504029
"gamma0";0.973243490566541
"gamma0";0.481378049376024
"gamma0";0.915445727267865
"gamma0";0.77538507909705
"gamma0";0.815338688670766
"gamma0";0.883775842256158
"gamma0";0.889911119733976
"gamma0";0.674642423732878
"gamma0";0.9300686104355
"gamma0";0.410843057731489
"gamma0";0.940757960388998
"gamma0";0.885462251582407
"gamma0";1.09999999999999
"gamma0";0.905369805951964
"gamma0";1.06329916671084
"gamma0";0.703682027229045
"gamma0";0.909946016587615
"gamma0";0.942765041802982
"gamma0";0.572361329879206
"gamma0";0.93544966949304
"gamma0";1.02668100672963
"gamma0";0.896410325717789
"gamma0";0.682342629873252
"gamma0";0.702299691233005
"gamma0";0.666155419910348
"gamma0";0.917783113239934
"gamma0";0.892851216083616
"gamma0";0.669122278395574
"gamma0";0.903074290915949
"gamma0";1.06569710392016
"gamma0";0.709208887360596
"gamma0";0.892792745742451
"gamma0";0.86244731022051
"gamma0";0.916311321923425
"gamma0";0.583596099429235
"gamma0";0.662056314729147
"gamma0";0.93551992130684
"gamma0";0.660116390561514
"gamma0";0.844464602959053
"gamma0";1.07104965414282
"gamma0";0.9395959578304
"gamma0";0.737483868864239
"gamma0";0.74488323351842
"gamma0";0.934126094183858
"gamma0";0.885961440264135
"gamma0";0.581756274046773
"gamma0";0.659995676058932
"gamma0";0.718698696092574
"gamma0";0.896067101805151
"gamma0";0.56169468233003
"gamma0";0.704167553931008
"gamma0";0.849156555593777
"gamma0";0.882083359150792
"gamma0";0.883188862414795
"gamma0";0.617704251248746
"gamma0";0.780058666246451
"gamma0";0.893811374026022
"gamma0";0.926364202142091
"gamma0";0.974584197798999
"gamma0";1.09999999999997
"gamma0";0.494581226373273
"gamma0";0.943516970482349
"gamma0";0.455524171708745
"gamma0";0.81453947412328
"gamma0";0.553348901815428
"gamma0";1.056178441558
"gamma0";0.894589629527651
"gamma0";0.652209170827603
"gamma0";0.949988674995085
"gamma0";0.910610587908308
"gamma0";0.925817567748585
"gamma0";0.908619845812402
"gamma0";0.707786393912662
"gamma0";0.855941542279532
"gamma0";0.897967913258568
"gamma0";0.902667398763843
"gamma0";0.918964326852144
"gamma0";0.900535674116349
"gamma0";0.911087084561881
"gamma0";0.309398290288586
"gamma1";0.87692242687179
"gamma1";0.792477066187893
"gamma1";0.859926281821184
"gamma1";0.671504310026172
"gamma1";0.690421882363578
"gamma1";0.944110645981653
"gamma1";1.03052746643272
"gamma1";0.926979853036201
"gamma1";0.911247067000088
"gamma1";0.927600771780921
"gamma1";0.89164999949517
"gamma1";0.928102685875377
"gamma1";0.905883457826045
"gamma1";0.978269358035298
"gamma1";0.952936708527523
"gamma1";0.900568430554456
"gamma1";0.967154150586821
"gamma1";0.717120181682696
"gamma1";0.612384067477762
"gamma1";0.877300374596036
"gamma1";0.913266635116932
"gamma1";0.945269211426071
"gamma1";0.897811902315785
"gamma1";0.96359669708977
"gamma1";0.903505379069894
"gamma1";0.92896723525561
"gamma1";0.916468638683989
"gamma1";0.81672076042059
"gamma1";0.55179873212229
"gamma1";0.943943824956652
"gamma1";0.80598909518581
"gamma1";1.04189800957436
"gamma1";1.02657091364561
"gamma1";0.888632945073768
"gamma1";0.994245766735614
"gamma1";0.910513176575269
"gamma1";0.748801259719622
"gamma1";0.829526994679352
"gamma1";0.688842447461101
"gamma1";0.911034201779136
"gamma1";0.965756169558732
"gamma1";0.869599146083893
"gamma1";0.891047351290252
"gamma1";0.946986501602648
"gamma1";0.899847866369366
"gamma1";0.74266705981462
"gamma1";1.03085288152802
"gamma1";0.913137074577973
"gamma1";0.900988927395974
"gamma1";0.908679009778512
"gamma1";0.864790286545849
"gamma1";0.735969983899348
"gamma1";0.896410917528115
"gamma1";0.931412581758854
"gamma1";0.907906179559705
"gamma1";0.962601653227567
"gamma1";0.923582095458961
"gamma1";0.929545509225196
"gamma1";0.867263343695616
"gamma1";1.03767190334089
"gamma1";0.922934530748574
"gamma1";1.09999999999999
"gamma1";0.792647657750312
"gamma1";0.902632404664455
"gamma1";0.905522985470011
"gamma1";0.928301023218536
"gamma1";0.96044813673967
"gamma1";0.878744071455924
"gamma1";1.05493842405182
"gamma1";0.562392928504171
"gamma1";0.907024062303823
"gamma1";0.876857998680075
"gamma1";0.958288731603349
"gamma1";0.889840954844717
"gamma1";0.580915255103793
"gamma1";0.756592101183688
"gamma1";0.227868789501437
"gamma1";0.828904536381477
"gamma1";0.900038049834649
"gamma1";0.813458514180466
"gamma1";0.880539553138451
"gamma1";0.896297302981864
"gamma1";0.932296769877994
"gamma1";0.938965535830321
"gamma1";0.697551208212994
"gamma1";0.904556899326446
"gamma1";0.8771606616454
"gamma1";0.604514846761066
"gamma1";0.878601312936399
"gamma1";0.879807345727508
"gamma1";0.923411127218217
"gamma1";0.753774820415159
"gamma1";0.918091252612161
"gamma1";0.932688733629572
"gamma1";0.811366914722162
"gamma1";0.919369063188972
"gamma1";0.807563678345201
"gamma1";0.749617553358231
"gamma1";0.778595948533424
"gamma1";0.768326071222526
"gamma2";1.02484626620394
"gamma2";0.875601745855671
"gamma2";0.908207005941748
"gamma2";0.971693643327596
"gamma2";0.918254147669183
"gamma2";0.727572226316496
"gamma2";0.918149898087033
"gamma2";0.882936013172595
"gamma2";0.919435358519496
"gamma2";0.907012684602941
"gamma2";1.04016501194195
"gamma2";0.883144559867155
"gamma2";0.910098495372344
"gamma2";0.919454224669969
"gamma2";0.421856467845263
"gamma2";0.91997235018933
"gamma2";0.874282309820665
"gamma2";0.528322774341763
"gamma2";0.969739419023178
"gamma2";0.775246724449105
"gamma2";0.916409907060847
"gamma2";0.731130426483517
"gamma2";0.656496729765832
"gamma2";1.03564635110839
"gamma2";0.939569502229084
"gamma2";0.960448732438272
"gamma2";0.365259018449719
"gamma2";0.462096927715187
"gamma2";0.537504576381391
"gamma2";0.884552436734617
"gamma2";0.92201834604983
"gamma2";0.674537655929468
"gamma2";0.660846045227201
"gamma2";0.876401202135503
"gamma2";0.880331122194953
